(434.881286, 432.209886) 	 4370 	 IT=116;116 
(434.881286, 432.209886) 	 4384 	 IT=116;116 
(434.881286, 432.209886) 	 4398 	 IT=63;116 
(434.881286, 432.209886) 	 4412 	 IT=22;116 
(434.881286, 432.209886) 	 4426 	 IT=11;116 
(434.881286, 432.209886) 	 4440 	 IT=11;116 
(434.881286, 432.209886) 	 4454 	 IT=13;116 
(434.881286, 432.209886) 	 4468 	 IT=19;116 
(434.881286, 432.209886) 	 4482 	 IT=27;116 
(434.881286, 432.209886) 	 4496 	 IT=37;116 
(434.881286, 432.209886) 	 4510 	 IT=42;116 
(434.881286, 432.209886) 	 4524 	 IT=57;116 
(434.881286, 432.209886) 	 4538 	 IT=66;116 
(434.881286, 432.209886) 	 4552 	 IT=79;116 
(434.881286, 432.209886) 	 4566 	 IT=100;116 
(434.881286, 432.209886) 	 4580 	 IT=107;116 
(434.881286, 432.209886) 	 4594 	 IT=116;116 
(434.881286, 432.209886) 	 4608 	 IT=116;116 
(434.881286, 432.209886) 	 4622 	 IT=116;116 
(434.881286, 432.209886) 	 4636 	 IT=116;116 
(434.881286, 432.209886) 	 4650 	 IT=116;116 
(434.881286, 432.209886) 	 4664 	 IT=116;116 
(434.881286, 432.209886) 	 4678 	 IT=116;116 
(434.881286, 432.209886) 	 4692 	 IT=116;116 
(434.881286, 432.209886) 	 4706 	 IT=116;116 
(434.881286, 432.209886) 	 4720 	 IT=116;116 
(434.881286, 432.209886) 	 4735 	 IT=116;116 
(434.881286, 432.209886) 	 4748 	 IT=116;116 
(434.881286, 432.209886) 	 4763 	 IT=116;116 
(560.267902, 556.260803) 	 4749 	 IT=116;116 
(560.267902, 556.260803) 	 4764 	 IT=116;116 
(560.267902, 556.260803) 	 4778 	 IT=93;116 
(560.267902, 556.260803) 	 4792 	 IT=50;116 
(560.267902, 556.260803) 	 4806 	 IT=31;116 
(560.267902, 556.260803) 	 4820 	 IT=22;116 
(560.267902, 556.260803) 	 4834 	 IT=17;116 
(560.267902, 556.260803) 	 4849 	 IT=18;116 
(560.267902, 556.260803) 	 4864 	 IT=21;116 
(560.267902, 556.260803) 	 4879 	 IT=31;116 
(560.267902, 556.260803) 	 4894 	 IT=39;116 
(560.267902, 556.260803) 	 4911 	 IT=64;116 
(560.267902, 556.260803) 	 4927 	 IT=76;116 
(560.267902, 556.260803) 	 4946 	 IT=102;116 
(560.267902, 556.260803) 	 4963 	 IT=106;116 
(560.267902, 556.260803) 	 4982 	 IT=116;116 
(560.267902, 556.260803) 	 4998 	 IT=116;116 
(560.267902, 556.260803) 	 5015 	 IT=116;116 
(560.267902, 556.260803) 	 5033 	 IT=116;116 
(560.267902, 556.260803) 	 5050 	 IT=116;116 
(560.267902, 556.260803) 	 5068 	 IT=116;116 
(560.267902, 556.260803) 	 5085 	 IT=116;116 
(560.267902, 556.260803) 	 5104 	 IT=116;116 
(560.267902, 556.260803) 	 5120 	 IT=116;116 
(560.267902, 556.260803) 	 5140 	 IT=116;116 
(560.267902, 556.260803) 	 5158 	 IT=116;116 
(560.267902, 556.260803) 	 5175 	 IT=116;116 
(560.267902, 556.260803) 	 5193 	 IT=116;116 
(560.267902, 556.260803) 	 5210 	 IT=116;116 
(560.267902, 556.260803) 	 5228 	 IT=116;116 
(560.267902, 556.260803) 	 5245 	 IT=116;116 
(560.267902, 556.260803) 	 5262 	 IT=116;116 
(709.284578, 705.277478) 	 4848 	 IT=116;116 
(709.284578, 705.277478) 	 4863 	 IT=116;116 
(709.284578, 705.277478) 	 4878 	 IT=116;116 
(709.284578, 705.277478) 	 4893 	 IT=116;116 
(709.284578, 705.277478) 	 4908 	 IT=116;116 
(709.284578, 705.277478) 	 4925 	 IT=90;116 
(709.284578, 705.277478) 	 4942 	 IT=86;116 
(709.284578, 705.277478) 	 4959 	 IT=70;116 
(709.284578, 705.277478) 	 4978 	 IT=88;116 
(709.284578, 705.277478) 	 4995 	 IT=101;116 
(709.284578, 705.277478) 	 5012 	 IT=116;116 
(709.284578, 705.277478) 	 5029 	 IT=116;116 
(709.284578, 705.277478) 	 5047 	 IT=116;116 
(709.284578, 705.277478) 	 5065 	 IT=116;116 
(709.284578, 705.277478) 	 5081 	 IT=116;116 
(709.284578, 705.277478) 	 5100 	 IT=116;116 
(709.284578, 705.277478) 	 5117 	 IT=116;116 
(709.284578, 705.277478) 	 5136 	 IT=116;116 
(709.284578, 705.277478) 	 5189 	 IT=116;116 
(709.284578, 705.277478) 	 5224 	 IT=116;116 
(564.739087, 559.734952) 	 5138 	 IT=116;116 
(564.739087, 559.734952) 	 5156 	 IT=57;116 
(564.739087, 559.734952) 	 5173 	 IT=48;116 
(564.739087, 559.734952) 	 5191 	 IT=54;116 
(564.739087, 559.734952) 	 5208 	 IT=69;116 
(564.739087, 559.734952) 	 5226 	 IT=101;116 
(564.739087, 559.734952) 	 5243 	 IT=116;116 
(564.739087, 559.734952) 	 5260 	 IT=116;116 
(564.739087, 559.734952) 	 5277 	 IT=116;116 
(564.739087, 559.734952) 	 5294 	 IT=116;116 
(564.739087, 559.734952) 	 5309 	 IT=116;116 
(564.739087, 559.734952) 	 5325 	 IT=116;116 
(564.739087, 559.734952) 	 5341 	 IT=116;116 
(564.739087, 559.734952) 	 5357 	 IT=116;116 
(367.931562, 365.429495) 	 4943 	 IT=116;116 
(367.931562, 365.429495) 	 4960 	 IT=116;116 
(367.931562, 365.429495) 	 4979 	 IT=58;116 
(367.931562, 365.429495) 	 4996 	 IT=11;116 
(367.931562, 365.429495) 	 5013 	 IT=4.8;116 
(367.931562, 365.429495) 	 5030 	 IT=5.5;116 
(367.931562, 365.429495) 	 5048 	 IT=10;116 
(367.931562, 365.429495) 	 5066 	 IT=20;116 
(367.931562, 365.429495) 	 5082 	 IT=29;116 
(367.931562, 365.429495) 	 5101 	 IT=41;116 
(367.931562, 365.429495) 	 5118 	 IT=51;116 
(367.931562, 365.429495) 	 5137 	 IT=79;116 
(367.931562, 365.429495) 	 5155 	 IT=66;116 
(367.931562, 365.429495) 	 5172 	 IT=71;116 
(367.931562, 365.429495) 	 5190 	 IT=80;116 
(367.931562, 365.429495) 	 5207 	 IT=74;116 
(367.931562, 365.429495) 	 5225 	 IT=95;116 
(367.931562, 365.429495) 	 5242 	 IT=101;116 
(367.931562, 365.429495) 	 5259 	 IT=93;116 
(367.931562, 365.429495) 	 5276 	 IT=106;116 
(367.931562, 365.429495) 	 5293 	 IT=116;116 
(367.931562, 365.429495) 	 5308 	 IT=116;116 
(367.931562, 365.429495) 	 5324 	 IT=116;116 
(367.931562, 365.429495) 	 5340 	 IT=116;116 
(367.931562, 365.429495) 	 5356 	 IT=116;116 
(367.931562, 365.429495) 	 5372 	 IT=116;116 
(367.931562, 365.429495) 	 5387 	 IT=116;116 
(367.931562, 365.429495) 	 5402 	 IT=116;116 
(367.931562, 365.429495) 	 5417 	 IT=116;116 
(367.931562, 365.429495) 	 5432 	 IT=116;116 
(367.931562, 365.429495) 	 5448 	 IT=116;116 
(367.931562, 365.429495) 	 5462 	 IT=116;116 
(367.931562, 365.429495) 	 5477 	 IT=116;116 
(367.931562, 365.429495) 	 5492 	 IT=116;116 
(595.2942, 592.622684) 	 4910 	 IT=116;116 
(595.2942, 592.622684) 	 4926 	 IT=35;116 
(595.2942, 592.622684) 	 4945 	 IT=15;116 
(595.2942, 592.622684) 	 4962 	 IT=15;116 
(595.2942, 592.622684) 	 4981 	 IT=40;116 
(595.2942, 592.622684) 	 4997 	 IT=81;116 
(595.2942, 592.622684) 	 5014 	 IT=116;116 
(595.2942, 592.622684) 	 5032 	 IT=116;116 
(595.2942, 592.622684) 	 5049 	 IT=116;116 
(595.2942, 592.622684) 	 5067 	 IT=116;116 
(595.2942, 592.622684) 	 5083 	 IT=116;116 
(595.2942, 592.622684) 	 5102 	 IT=116;116 
(462.209402, 459.538003) 	 5084 	 IT=116;116 
(462.209402, 459.538003) 	 5103 	 IT=116;116 
(462.209402, 459.538003) 	 5119 	 IT=116;116 
(462.209402, 459.538003) 	 5139 	 IT=116;116 
(462.209402, 459.538003) 	 5157 	 IT=116;116 
(462.209402, 459.538003) 	 5174 	 IT=116;116 
(462.209402, 459.538003) 	 5192 	 IT=116;116 
(462.209402, 459.538003) 	 5209 	 IT=63;116 
(462.209402, 459.538003) 	 5227 	 IT=26;116 
(462.209402, 459.538003) 	 5244 	 IT=13;116 
(462.209402, 459.538003) 	 5261 	 IT=10;116 
(462.209402, 459.538003) 	 5278 	 IT=7.5;116 
(462.209402, 459.538003) 	 5295 	 IT=8.1;116 
(462.209402, 459.538003) 	 5310 	 IT=9.5;116 
(462.209402, 459.538003) 	 5326 	 IT=12;116 
(462.209402, 459.538003) 	 5342 	 IT=16;116 
(462.209402, 459.538003) 	 5358 	 IT=18;116 
(462.209402, 459.538003) 	 5373 	 IT=23;116 
(462.209402, 459.538003) 	 5388 	 IT=27;116 
(462.209402, 459.538003) 	 5403 	 IT=27;116 
(462.209402, 459.538003) 	 5418 	 IT=29;116 
(462.209402, 459.538003) 	 5433 	 IT=37;116 
(462.209402, 459.538003) 	 5449 	 IT=35;116 
(462.209402, 459.538003) 	 5463 	 IT=37;116 
(462.209402, 459.538003) 	 5478 	 IT=39;116 
(462.209402, 459.538003) 	 5493 	 IT=43;116 
(462.209402, 459.538003) 	 5507 	 IT=38;116 
(462.209402, 459.538003) 	 5521 	 IT=53;116 
(462.209402, 459.538003) 	 5535 	 IT=53;116 
(462.209402, 459.538003) 	 5549 	 IT=52;116 
(462.209402, 459.538003) 	 5563 	 IT=64;116 
(462.209402, 459.538003) 	 5577 	 IT=64;116 
(462.209402, 459.538003) 	 5591 	 IT=76;116 
(462.209402, 459.538003) 	 5605 	 IT=80;116 
(462.209402, 459.538003) 	 5619 	 IT=79;116 
(462.209402, 459.538003) 	 5633 	 IT=88;116 
(462.209402, 459.538003) 	 5647 	 IT=85;116 
(462.209402, 459.538003) 	 5661 	 IT=87;116 
(462.209402, 459.538003) 	 5675 	 IT=96;116 
(462.209402, 459.538003) 	 5689 	 IT=94;116 
(462.209402, 459.538003) 	 5703 	 IT=107;116 
(462.209402, 459.538003) 	 5717 	 IT=116;116 
(462.209402, 459.538003) 	 5731 	 IT=116;116 
(462.209402, 459.538003) 	 5745 	 IT=116;116 
(462.209402, 459.538003) 	 5759 	 IT=116;116 
(462.209402, 459.538003) 	 5773 	 IT=116;116 
(462.209402, 459.538003) 	 5787 	 IT=116;116 
(462.209402, 459.538003) 	 5801 	 IT=116;116 
(462.209402, 459.538003) 	 5815 	 IT=116;116 
(462.209402, 459.538003) 	 5830 	 IT=116;116 
(462.209402, 459.538003) 	 5845 	 IT=116;116 
(462.209402, 459.538003) 	 5860 	 IT=116;116 
(462.209402, 459.538003) 	 5874 	 IT=116;116 
(462.209402, 459.538003) 	 5888 	 IT=116;116 
(462.209402, 459.538003) 	 5902 	 IT=116;116 
(462.209402, 459.538003) 	 5916 	 IT=116;116 
(462.209402, 459.538003) 	 5931 	 IT=116;116 
(462.209402, 459.538003) 	 5944 	 IT=116;116 
(462.209402, 459.538003) 	 5958 	 IT=116;116 
(462.209402, 459.538003) 	 5972 	 IT=116;116 
(462.209402, 459.538003) 	 5986 	 IT=116;116 
(462.209402, 459.538003) 	 6000 	 IT=116;116 
(462.209402, 459.538003) 	 6014 	 IT=116;116 
(462.209402, 459.538003) 	 6028 	 IT=116;116 
(462.209402, 459.538003) 	 6042 	 IT=116;116 
(462.209402, 459.538003) 	 6056 	 IT=116;116 
(462.209402, 459.538003) 	 6070 	 IT=116;116 
(462.209402, 459.538003) 	 6084 	 IT=116;116 
(570.73347, 565.729336) 	 5135 	 IT=116;116 
(570.73347, 565.729336) 	 5154 	 IT=116;90 
(570.73347, 565.729336) 	 5171 	 IT=116;52 
(595.2941, 592.622684) 	 4909 	 IT=116;116 
(595.2941, 592.622684) 	 4944 	 IT=15;116 
(595.2941, 592.622684) 	 4961 	 IT=15;116 
(595.2941, 592.622684) 	 4980 	 IT=40;116 
(595.2941, 592.622684) 	 5031 	 IT=116;116 
(448.194502, 444.187402) 	 5829 	 IT=116;116 
(448.194502, 444.187402) 	 5844 	 IT=116;116 
(448.194502, 444.187402) 	 5859 	 IT=116;116 
(604.777246, 600.770146) 	 6999 	 IT=116;116 
(604.777246, 600.770146) 	 7015 	 IT=66;116 
(604.777246, 600.770146) 	 7033 	 IT=43;116 
(604.777246, 600.770146) 	 7051 	 IT=39;116 
(604.777246, 600.770146) 	 7069 	 IT=42;116 
(604.777246, 600.770146) 	 7086 	 IT=41;116 
(604.777246, 600.770146) 	 7104 	 IT=45;116 
(408.211336, 404.204237) 	 6466 	 IT=116;116 
(408.211336, 404.204237) 	 6481 	 IT=116;116 
(408.211336, 404.204237) 	 6496 	 IT=116;116 
(408.211336, 404.204237) 	 6511 	 IT=116;116 
(408.211336, 404.204237) 	 6526 	 IT=116;116 
(408.211336, 404.204237) 	 6542 	 IT=116;116 
(408.211336, 404.204237) 	 6558 	 IT=116;116 
(408.211336, 404.204237) 	 6573 	 IT=105;116 
(408.211336, 404.204237) 	 6588 	 IT=96;116 
(408.211336, 404.204237) 	 6603 	 IT=73;116 
(408.211336, 404.204237) 	 6618 	 IT=69;116 
(408.211336, 404.204237) 	 6633 	 IT=62;116 
(408.211336, 404.204237) 	 6648 	 IT=54;116 
(408.211336, 404.204237) 	 6663 	 IT=46;116 
(408.211336, 404.204237) 	 6679 	 IT=38;116 
(408.211336, 404.204237) 	 6695 	 IT=28;116 
(408.211336, 404.204237) 	 6711 	 IT=22;116 
(408.211336, 404.204237) 	 6727 	 IT=21;116 
(408.211336, 404.204237) 	 6743 	 IT=19;116 
(408.211336, 404.204237) 	 6759 	 IT=21;116 
(408.211336, 404.204237) 	 6775 	 IT=23;116 
(408.211336, 404.204237) 	 6791 	 IT=29;116 
(408.211336, 404.204237) 	 6807 	 IT=28;116 
(408.211336, 404.204237) 	 6824 	 IT=30;116 
(408.211336, 404.204237) 	 6840 	 IT=36;116 
(408.211336, 404.204237) 	 6855 	 IT=48;116 
(408.211336, 404.204237) 	 6871 	 IT=47;116 
(408.211336, 404.204237) 	 6887 	 IT=52;116 
(408.211336, 404.204237) 	 6903 	 IT=53;116 
(408.211336, 404.204237) 	 6919 	 IT=55;116 
(408.211336, 404.204237) 	 6936 	 IT=64;116 
(408.211336, 404.204237) 	 6951 	 IT=62;116 
(408.211336, 404.204237) 	 6967 	 IT=78;116 
(408.211336, 404.204237) 	 6983 	 IT=78;116 
(408.211336, 404.204237) 	 7001 	 IT=80;62 
(408.211336, 404.204237) 	 7017 	 IT=83;49 
(408.211336, 404.204237) 	 7036 	 IT=101;28 
(408.211336, 404.204237) 	 7054 	 IT=116;33 
(408.211336, 404.204237) 	 7072 	 IT=116;41 
(408.211336, 404.204237) 	 7089 	 IT=116;60 
(408.211336, 404.204237) 	 7107 	 IT=116;86 
(408.211336, 404.204237) 	 7124 	 IT=116;116 
(408.211336, 404.204237) 	 7141 	 IT=116;116 
(408.211336, 404.204237) 	 7159 	 IT=116;116 
(408.211336, 404.204237) 	 7176 	 IT=116;116 
(408.211336, 404.204237) 	 7192 	 IT=116;116 
(408.211336, 404.204237) 	 7209 	 IT=116;116 
(408.211336, 404.204237) 	 7242 	 IT=113;116 
(408.211336, 404.204237) 	 7335 	 IT=116;116 
(409.203661, 405.867572) 	 6541 	 IT=116;116 
(409.203661, 405.867572) 	 6557 	 IT=116;116 
(409.203661, 405.867572) 	 6678 	 IT=30;116 
(409.203661, 405.867572) 	 6694 	 IT=21;116 
(409.203661, 405.867572) 	 6710 	 IT=15;116 
(409.203661, 405.867572) 	 6726 	 IT=14;116 
(409.203661, 405.867572) 	 6742 	 IT=13;116 
(409.203661, 405.867572) 	 6758 	 IT=14;116 
(409.203661, 405.867572) 	 6774 	 IT=14;116 
(409.203661, 405.867572) 	 6790 	 IT=18;116 
(409.203661, 405.867572) 	 6806 	 IT=18;116 
(409.203661, 405.867572) 	 6823 	 IT=20;116 
(409.203661, 405.867572) 	 6839 	 IT=24;116 
(409.203661, 405.867572) 	 6854 	 IT=31;116 
(409.203661, 405.867572) 	 6870 	 IT=31;116 
(409.203661, 405.867572) 	 6886 	 IT=34;116 
(409.203661, 405.867572) 	 6902 	 IT=35;116 
(409.203661, 405.867572) 	 6918 	 IT=36;116 
(409.203661, 405.867572) 	 6935 	 IT=41;116 
(409.203661, 405.867572) 	 6950 	 IT=41;116 
(409.203661, 405.867572) 	 6966 	 IT=51;116 
(409.203661, 405.867572) 	 6982 	 IT=51;116 
(409.203661, 405.867572) 	 7000 	 IT=54;116 
(409.203661, 405.867572) 	 7016 	 IT=55;116 
(409.203661, 405.867572) 	 7035 	 IT=70;116 
(409.203661, 405.867572) 	 7053 	 IT=91;116 
(409.203661, 405.867572) 	 7071 	 IT=88;116 
(409.203661, 405.867572) 	 7088 	 IT=96;116 
(409.203661, 405.867572) 	 7106 	 IT=104;116 
(409.203661, 405.867572) 	 7123 	 IT=116;116 
(409.203661, 405.867572) 	 7140 	 IT=116;116 
(409.203661, 405.867572) 	 7158 	 IT=116;116 
(409.203661, 405.867572) 	 7175 	 IT=116;116 
(409.203661, 405.867572) 	 7191 	 IT=116;116 
(409.203661, 405.867572) 	 7208 	 IT=116;116 
(409.203661, 405.867572) 	 7225 	 IT=116;116 
(409.203661, 405.867572) 	 7241 	 IT=100;116 
(409.203661, 405.867572) 	 7258 	 IT=108;116 
(409.203661, 405.867572) 	 7273 	 IT=116;116 
(409.203661, 405.867572) 	 7288 	 IT=116;116 
(409.203661, 405.867572) 	 7303 	 IT=116;116 
(409.203661, 405.867572) 	 7318 	 IT=116;116 
(409.203661, 405.867572) 	 7334 	 IT=116;116 
(409.203661, 405.867572) 	 7351 	 IT=116;116 
(409.203661, 405.867572) 	 7367 	 IT=116;116 
(409.203661, 405.867572) 	 7383 	 IT=116;116 
(409.203661, 405.867572) 	 7398 	 IT=116;116 
(409.203661, 405.867572) 	 7414 	 IT=116;116 
(409.203661, 405.867572) 	 7430 	 IT=116;116 
(650.278242, 645.274107) 	 7034 	 IT=116;116 
(650.278242, 645.274107) 	 7052 	 IT=116;116 
(650.278242, 645.274107) 	 7070 	 IT=40;116 
(650.278242, 645.274107) 	 7087 	 IT=27;116 
(650.278242, 645.274107) 	 7105 	 IT=16;116 
(650.278242, 645.274107) 	 7122 	 IT=16;116 
(650.278242, 645.274107) 	 7139 	 IT=19;116 
(650.278242, 645.274107) 	 7157 	 IT=29;116 
(650.278242, 645.274107) 	 7174 	 IT=47;116 
(650.278242, 645.274107) 	 7190 	 IT=81;116 
(650.278242, 645.274107) 	 7207 	 IT=105;116 
(650.278242, 645.274107) 	 7224 	 IT=116;116 
(650.278242, 645.274107) 	 7240 	 IT=116;116 
(650.278242, 645.274107) 	 7257 	 IT=116;116 
(650.278242, 645.274107) 	 7272 	 IT=116;116 
(650.278242, 645.274107) 	 7287 	 IT=116;116 
(650.278242, 645.274107) 	 7302 	 IT=116;116 
(650.278242, 645.274107) 	 7317 	 IT=116;116 
(650.278242, 645.274107) 	 7333 	 IT=116;116 
(650.278242, 645.274107) 	 7350 	 IT=116;116 
(650.278242, 645.274107) 	 7366 	 IT=116;116 
(650.278242, 645.274107) 	 7382 	 IT=116;116 
(650.278242, 645.274107) 	 7397 	 IT=116;116 
(650.278242, 645.274107) 	 7413 	 IT=116;116 
(650.278242, 645.274107) 	 7429 	 IT=116;116 
(650.278242, 645.274107) 	 7446 	 IT=116;116 
(650.278242, 645.274107) 	 7461 	 IT=116;116 
(650.278242, 645.274107) 	 7476 	 IT=116;116 
(650.278242, 645.274107) 	 7491 	 IT=116;116 
(650.278242, 645.274107) 	 7506 	 IT=116;116 
(650.278242, 645.274107) 	 7521 	 IT=116;116 
(650.278242, 645.274107) 	 7536 	 IT=116;116 
(650.278242, 645.274107) 	 7551 	 IT=116;116 
(650.278242, 645.274107) 	 7566 	 IT=116;116 
(650.278242, 645.274107) 	 7582 	 IT=116;116 
(650.278242, 645.274107) 	 7598 	 IT=116;116 
(650.278242, 645.274107) 	 7614 	 IT=116;116 
(650.278242, 645.274107) 	 7630 	 IT=116;116 
(650.278242, 645.274107) 	 7646 	 IT=116;116 
(650.278242, 645.274107) 	 7662 	 IT=116;116 
(650.278242, 645.274107) 	 7679 	 IT=116;116 
(650.278242, 645.274107) 	 7696 	 IT=116;116 
(650.278242, 645.274107) 	 7713 	 IT=116;116 
(650.278242, 645.274107) 	 7731 	 IT=116;116 
(650.278242, 645.274107) 	 7747 	 IT=116;116 
(650.278242, 645.274107) 	 7763 	 IT=116;116 
(650.278242, 645.274107) 	 7779 	 IT=116;116 
(723.314724, 719.307624) 	 7581 	 IT=116;116 
(723.314724, 719.307624) 	 7597 	 IT=96;116 
(723.314724, 719.307624) 	 7613 	 IT=33;116 
(723.314724, 719.307624) 	 7629 	 IT=19;116 
(723.314724, 719.307624) 	 7645 	 IT=16;116 
(723.314724, 719.307624) 	 7661 	 IT=20;116 
(723.314724, 719.307624) 	 7677 	 IT=36;116 
(723.314724, 719.307624) 	 7694 	 IT=97;116 
