(434.881286, 432.209886) 	 4479 	 IT=116;116 
(434.881286, 432.209886) 	 4493 	 IT=116;116 
(434.881286, 432.209886) 	 4507 	 IT=47;116 
(434.881286, 432.209886) 	 4521 	 IT=21;116 
(434.881286, 432.209886) 	 4535 	 IT=13;116 
(434.881286, 432.209886) 	 4549 	 IT=12;116 
(434.881286, 432.209886) 	 4563 	 IT=17;116 
(434.881286, 432.209886) 	 4577 	 IT=22;116 
(434.881286, 432.209886) 	 4591 	 IT=36;116 
(434.881286, 432.209886) 	 4605 	 IT=39;116 
(434.881286, 432.209886) 	 4619 	 IT=53;116 
(434.881286, 432.209886) 	 4633 	 IT=66;116 
(434.881286, 432.209886) 	 4647 	 IT=79;116 
(434.881286, 432.209886) 	 4661 	 IT=92;116 
(434.881286, 432.209886) 	 4675 	 IT=103;116 
(434.881286, 432.209886) 	 4689 	 IT=116;116 
(434.881286, 432.209886) 	 4703 	 IT=116;116 
(434.881286, 432.209886) 	 4717 	 IT=116;116 
(434.881286, 432.209886) 	 4731 	 IT=116;116 
(434.881286, 432.209886) 	 4745 	 IT=116;116 
(434.881286, 432.209886) 	 4759 	 IT=116;116 
(434.881286, 432.209886) 	 4773 	 IT=116;116 
(434.881286, 432.209886) 	 4787 	 IT=116;116 
(434.881286, 432.209886) 	 4801 	 IT=116;116 
(434.881286, 432.209886) 	 4815 	 IT=116;116 
(434.881286, 432.209886) 	 4829 	 IT=116;116 
(434.881286, 432.209886) 	 4843 	 IT=116;116 
(560.267902, 556.260803) 	 4844 	 IT=116;116 
(560.267902, 556.260803) 	 4858 	 IT=116;116 
(560.267902, 556.260803) 	 4872 	 IT=116;116 
(560.267902, 556.260803) 	 4886 	 IT=83;116 
(560.267902, 556.260803) 	 4900 	 IT=48;116 
(560.267902, 556.260803) 	 4914 	 IT=34;116 
(560.267902, 556.260803) 	 4928 	 IT=24;116 
(560.267902, 556.260803) 	 4943 	 IT=22;116 
(560.267902, 556.260803) 	 4958 	 IT=24;116 
(560.267902, 556.260803) 	 4973 	 IT=28;116 
(560.267902, 556.260803) 	 4988 	 IT=41;116 
(560.267902, 556.260803) 	 5003 	 IT=50;116 
(560.267902, 556.260803) 	 5018 	 IT=66;116 
(560.267902, 556.260803) 	 5036 	 IT=86;116 
(560.267902, 556.260803) 	 5052 	 IT=114;116 
(560.267902, 556.260803) 	 5068 	 IT=116;116 
(560.267902, 556.260803) 	 5084 	 IT=116;116 
(560.267902, 556.260803) 	 5101 	 IT=116;116 
(560.267902, 556.260803) 	 5118 	 IT=116;116 
(560.267902, 556.260803) 	 5135 	 IT=116;116 
(560.267902, 556.260803) 	 5153 	 IT=116;116 
(560.267902, 556.260803) 	 5171 	 IT=116;116 
(560.267902, 556.260803) 	 5188 	 IT=116;116 
(560.267902, 556.260803) 	 5204 	 IT=116;116 
(560.267902, 556.260803) 	 5222 	 IT=116;116 
(560.267902, 556.260803) 	 5241 	 IT=116;116 
(560.267902, 556.260803) 	 5261 	 IT=116;116 
(560.267902, 556.260803) 	 5281 	 IT=116;116 
(560.267902, 556.260803) 	 5299 	 IT=116;116 
(560.267902, 556.260803) 	 5316 	 IT=116;116 
(560.267902, 556.260803) 	 5333 	 IT=116;116 
(560.267902, 556.260803) 	 5351 	 IT=116;116 
(560.267902, 556.260803) 	 5368 	 IT=116;116 
(560.267902, 556.260803) 	 5403 	 IT=116;116 
(709.284578, 705.277478) 	 4942 	 IT=116;116 
(709.284578, 705.277478) 	 4957 	 IT=116;116 
(709.284578, 705.277478) 	 4972 	 IT=116;116 
(709.284578, 705.277478) 	 4987 	 IT=116;116 
(709.284578, 705.277478) 	 5002 	 IT=116;116 
(709.284578, 705.277478) 	 5017 	 IT=101;116 
(709.284578, 705.277478) 	 5033 	 IT=82;116 
(709.284578, 705.277478) 	 5050 	 IT=76;116 
(709.284578, 705.277478) 	 5065 	 IT=70;116 
(709.284578, 705.277478) 	 5082 	 IT=73;116 
(709.284578, 705.277478) 	 5098 	 IT=85;116 
(709.284578, 705.277478) 	 5116 	 IT=100;116 
(709.284578, 705.277478) 	 5131 	 IT=116;116 
(709.284578, 705.277478) 	 5149 	 IT=116;116 
(709.284578, 705.277478) 	 5168 	 IT=116;116 
(709.284578, 705.277478) 	 5185 	 IT=116;116 
(709.284578, 705.277478) 	 5201 	 IT=116;116 
(709.284578, 705.277478) 	 5218 	 IT=116;116 
(709.284578, 705.277478) 	 5237 	 IT=116;116 
(709.284578, 705.277478) 	 5256 	 IT=116;116 
(709.284578, 705.277478) 	 5276 	 IT=116;116 
(709.284578, 705.277478) 	 5295 	 IT=116;116 
(709.284578, 705.277478) 	 5347 	 IT=116;116 
(709.284578, 705.277478) 	 5382 	 IT=116;116 
(709.284578, 705.277478) 	 5399 	 IT=116;116 
(709.284578, 705.277478) 	 5417 	 IT=116;116 
(709.284578, 705.277478) 	 5434 	 IT=116;116 
(564.739087, 559.734952) 	 5258 	 IT=116;116 
(564.739087, 559.734952) 	 5278 	 IT=86;116 
(564.739087, 559.734952) 	 5297 	 IT=61;116 
(564.739087, 559.734952) 	 5314 	 IT=56;116 
(564.739087, 559.734952) 	 5331 	 IT=72;116 
(564.739087, 559.734952) 	 5349 	 IT=100;116 
(564.739087, 559.734952) 	 5366 	 IT=116;116 
(564.739087, 559.734952) 	 5384 	 IT=116;116 
(564.739087, 559.734952) 	 5401 	 IT=116;116 
(564.739087, 559.734952) 	 5419 	 IT=116;116 
(564.739087, 559.734952) 	 5436 	 IT=116;116 
(367.931562, 365.429495) 	 5132 	 IT=116;116 
(367.931562, 365.429495) 	 5150 	 IT=50;116 
(367.931562, 365.429495) 	 5169 	 IT=11;116 
(367.931562, 365.429495) 	 5186 	 IT=6.4;116 
(367.931562, 365.429495) 	 5202 	 IT=6.8;116 
(367.931562, 365.429495) 	 5219 	 IT=9.7;116 
(367.931562, 365.429495) 	 5238 	 IT=19;116 
(367.931562, 365.429495) 	 5257 	 IT=28;116 
(367.931562, 365.429495) 	 5277 	 IT=41;116 
(367.931562, 365.429495) 	 5296 	 IT=59;116 
(367.931562, 365.429495) 	 5313 	 IT=57;116 
(367.931562, 365.429495) 	 5330 	 IT=72;116 
(367.931562, 365.429495) 	 5348 	 IT=82;116 
(367.931562, 365.429495) 	 5365 	 IT=98;116 
(367.931562, 365.429495) 	 5383 	 IT=110;116 
(367.931562, 365.429495) 	 5400 	 IT=114;116 
(367.931562, 365.429495) 	 5418 	 IT=116;116 
(367.931562, 365.429495) 	 5435 	 IT=116;116 
(367.931562, 365.429495) 	 5451 	 IT=116;116 
(367.931562, 365.429495) 	 5467 	 IT=116;116 
(367.931562, 365.429495) 	 5481 	 IT=116;116 
(367.931562, 365.429495) 	 5496 	 IT=116;116 
(367.931562, 365.429495) 	 5511 	 IT=116;116 
(367.931562, 365.429495) 	 5526 	 IT=116;116 
(367.931562, 365.429495) 	 5541 	 IT=116;116 
(367.931562, 365.429495) 	 5556 	 IT=116;116 
