(434.881286, 432.209886) 	 4472 	 IT=30;116 
(434.881286, 432.209886) 	 4486 	 IT=13;116 
(434.881286, 432.209886) 	 4500 	 IT=11;116 
(434.881286, 432.209886) 	 4514 	 IT=13;116 
(434.881286, 432.209886) 	 4528 	 IT=24;116 
(434.881286, 432.209886) 	 4542 	 IT=35;116 
(434.881286, 432.209886) 	 4556 	 IT=53;116 
(434.881286, 432.209886) 	 4570 	 IT=66;116 
(434.881286, 432.209886) 	 4584 	 IT=89;116 
(434.881286, 432.209886) 	 4598 	 IT=101;116 
(434.881286, 432.209886) 	 4612 	 IT=116;116 
(434.881286, 432.209886) 	 4626 	 IT=116;116 
(434.881286, 432.209886) 	 4640 	 IT=116;116 
(434.881286, 432.209886) 	 4654 	 IT=116;116 
(434.881286, 432.209886) 	 4668 	 IT=116;116 
(434.881286, 432.209886) 	 4682 	 IT=116;116 
(434.881286, 432.209886) 	 4696 	 IT=116;116 
(434.881286, 432.209886) 	 4710 	 IT=116;116 
(434.881286, 432.209886) 	 4724 	 IT=116;116 
(434.881286, 432.209886) 	 4738 	 IT=116;116 
(560.267902, 556.260803) 	 4752 	 IT=116;116 
(560.267902, 556.260803) 	 4766 	 IT=116;116 
(560.267902, 556.260803) 	 4780 	 IT=116;116 
(560.267902, 556.260803) 	 4794 	 IT=96;116 
(560.267902, 556.260803) 	 4808 	 IT=63;116 
(560.267902, 556.260803) 	 4822 	 IT=35;116 
(560.267902, 556.260803) 	 4837 	 IT=25;116 
(560.267902, 556.260803) 	 4852 	 IT=21;116 
(560.267902, 556.260803) 	 4867 	 IT=22;116 
(560.267902, 556.260803) 	 4882 	 IT=36;116 
(560.267902, 556.260803) 	 4899 	 IT=89;116 
(560.267902, 556.260803) 	 4915 	 IT=100;116 
(560.267902, 556.260803) 	 4931 	 IT=116;116 
(560.267902, 556.260803) 	 4948 	 IT=116;116 
(560.267902, 556.260803) 	 4965 	 IT=116;116 
(560.267902, 556.260803) 	 4981 	 IT=116;116 
(560.267902, 556.260803) 	 4998 	 IT=116;116 
(560.267902, 556.260803) 	 5016 	 IT=116;116 
(560.267902, 556.260803) 	 5032 	 IT=116;116 
(560.267902, 556.260803) 	 5050 	 IT=116;116 
(560.267902, 556.260803) 	 5067 	 IT=116;116 
(560.267902, 556.260803) 	 5084 	 IT=116;116 
(560.267902, 556.260803) 	 5103 	 IT=116;116 
(560.267902, 556.260803) 	 5120 	 IT=116;116 
(560.267902, 556.260803) 	 5137 	 IT=116;116 
(560.267902, 556.260803) 	 5154 	 IT=116;116 
(560.267902, 556.260803) 	 5171 	 IT=116;116 
(709.284578, 705.277478) 	 4836 	 IT=116;116 
(709.284578, 705.277478) 	 4851 	 IT=116;116 
(709.284578, 705.277478) 	 4866 	 IT=116;116 
(709.284578, 705.277478) 	 4881 	 IT=116;116 
(709.284578, 705.277478) 	 4896 	 IT=88;116 
(709.284578, 705.277478) 	 4913 	 IT=71;116 
(709.284578, 705.277478) 	 4929 	 IT=61;116 
(709.284578, 705.277478) 	 4946 	 IT=57;116 
(709.284578, 705.277478) 	 4962 	 IT=64;116 
(709.284578, 705.277478) 	 4978 	 IT=93;116 
(709.284578, 705.277478) 	 4995 	 IT=103;116 
(709.284578, 705.277478) 	 5013 	 IT=116;116 
(709.284578, 705.277478) 	 5029 	 IT=116;116 
(709.284578, 705.277478) 	 5047 	 IT=116;116 
(709.284578, 705.277478) 	 5063 	 IT=116;116 
(709.284578, 705.277478) 	 5081 	 IT=116;116 
(709.284578, 705.277478) 	 5100 	 IT=116;116 
(709.284578, 705.277478) 	 5117 	 IT=116;116 
(564.739087, 559.734952) 	 5135 	 IT=104;116 
(564.739087, 559.734952) 	 5152 	 IT=47;116 
(564.739087, 559.734952) 	 5169 	 IT=46;116 
(564.739087, 559.734952) 	 5186 	 IT=66;116 
(564.739087, 559.734952) 	 5203 	 IT=74;116 
(564.739087, 559.734952) 	 5218 	 IT=106;116 
(564.739087, 559.734952) 	 5234 	 IT=116;116 
(564.739087, 559.734952) 	 5250 	 IT=116;116 
(564.739087, 559.734952) 	 5266 	 IT=116;116 
(564.739087, 559.734952) 	 5297 	 IT=116;116 
(367.931562, 365.429495) 	 4963 	 IT=104;116 
(367.931562, 365.429495) 	 4979 	 IT=69;116 
(367.931562, 365.429495) 	 4996 	 IT=21;116 
(367.931562, 365.429495) 	 5014 	 IT=6.5;116 
(367.931562, 365.429495) 	 5030 	 IT=4.7;116 
(367.931562, 365.429495) 	 5048 	 IT=11;116 
(367.931562, 365.429495) 	 5064 	 IT=21;116 
(367.931562, 365.429495) 	 5082 	 IT=34;116 
(367.931562, 365.429495) 	 5101 	 IT=53;116 
(367.931562, 365.429495) 	 5118 	 IT=66;116 
(367.931562, 365.429495) 	 5134 	 IT=86;116 
(367.931562, 365.429495) 	 5151 	 IT=108;116 
(367.931562, 365.429495) 	 5168 	 IT=108;116 
(367.931562, 365.429495) 	 5185 	 IT=116;116 
(367.931562, 365.429495) 	 5202 	 IT=92;116 
(367.931562, 365.429495) 	 5217 	 IT=116;116 
(367.931562, 365.429495) 	 5233 	 IT=116;116 
(367.931562, 365.429495) 	 5249 	 IT=116;116 
(367.931562, 365.429495) 	 5265 	 IT=116;116 
(367.931562, 365.429495) 	 5281 	 IT=116;116 
(367.931562, 365.429495) 	 5296 	 IT=116;116 
(367.931562, 365.429495) 	 5312 	 IT=116;116 
(367.931562, 365.429495) 	 5341 	 IT=116;116 
(367.931562, 365.429495) 	 5356 	 IT=116;116 
(367.931562, 365.429495) 	 5371 	 IT=116;116 
(367.931562, 365.429495) 	 5386 	 IT=116;116 
(367.931562, 365.429495) 	 5401 	 IT=116;116 
(367.931562, 365.429495) 	 5416 	 IT=116;116 
(367.931562, 365.429495) 	 5445 	 IT=116;116 
(367.931562, 365.429495) 	 5474 	 IT=116;116 
(367.931562, 365.429495) 	 5489 	 IT=116;116 
(595.2942, 592.622684) 	 4898 	 IT=116;116 
(595.2942, 592.622684) 	 4914 	 IT=41;116 
(595.2942, 592.622684) 	 4930 	 IT=17;116 
(595.2942, 592.622684) 	 4947 	 IT=17;116 
(595.2942, 592.622684) 	 4964 	 IT=75;116 
(595.2942, 592.622684) 	 4980 	 IT=116;116 
(595.2942, 592.622684) 	 4997 	 IT=116;116 
(595.2942, 592.622684) 	 5015 	 IT=116;116 
(595.2942, 592.622684) 	 5031 	 IT=116;116 
(595.2942, 592.622684) 	 5049 	 IT=116;116 
(595.2942, 592.622684) 	 5065 	 IT=116;116 
(462.209402, 459.538003) 	 5066 	 IT=116;116 
(462.209402, 459.538003) 	 5083 	 IT=116;116 
(462.209402, 459.538003) 	 5102 	 IT=116;116 
(462.209402, 459.538003) 	 5119 	 IT=116;116 
(462.209402, 459.538003) 	 5136 	 IT=116;116 
(462.209402, 459.538003) 	 5153 	 IT=116;116 
(462.209402, 459.538003) 	 5170 	 IT=48;116 
(462.209402, 459.538003) 	 5187 	 IT=39;116 
(462.209402, 459.538003) 	 5204 	 IT=16;116 
(462.209402, 459.538003) 	 5219 	 IT=10;116 
(462.209402, 459.538003) 	 5235 	 IT=9.3;116 
(462.209402, 459.538003) 	 5251 	 IT=9.6;116 
(462.209402, 459.538003) 	 5267 	 IT=11;116 
(462.209402, 459.538003) 	 5282 	 IT=14;116 
(462.209402, 459.538003) 	 5298 	 IT=16;116 
(462.209402, 459.538003) 	 5313 	 IT=20;116 
(462.209402, 459.538003) 	 5327 	 IT=23;116 
(462.209402, 459.538003) 	 5342 	 IT=23;116 
(462.209402, 459.538003) 	 5357 	 IT=29;116 
(462.209402, 459.538003) 	 5372 	 IT=32;116 
(462.209402, 459.538003) 	 5387 	 IT=32;116 
(462.209402, 459.538003) 	 5402 	 IT=35;116 
(462.209402, 459.538003) 	 5417 	 IT=34;116 
(462.209402, 459.538003) 	 5431 	 IT=39;116 
(462.209402, 459.538003) 	 5446 	 IT=32;116 
(462.209402, 459.538003) 	 5460 	 IT=42;116 
(462.209402, 459.538003) 	 5475 	 IT=49;116 
(462.209402, 459.538003) 	 5490 	 IT=48;116 
(462.209402, 459.538003) 	 5504 	 IT=51;116 
(462.209402, 459.538003) 	 5518 	 IT=59;116 
(462.209402, 459.538003) 	 5533 	 IT=60;116 
(462.209402, 459.538003) 	 5546 	 IT=67;116 
(462.209402, 459.538003) 	 5560 	 IT=78;116 
(462.209402, 459.538003) 	 5574 	 IT=89;116 
(462.209402, 459.538003) 	 5588 	 IT=87;116 
(462.209402, 459.538003) 	 5602 	 IT=83;116 
(462.209402, 459.538003) 	 5616 	 IT=82;116 
(462.209402, 459.538003) 	 5630 	 IT=83;116 
(462.209402, 459.538003) 	 5644 	 IT=95;116 
(462.209402, 459.538003) 	 5658 	 IT=101;116 
(462.209402, 459.538003) 	 5672 	 IT=108;116 
(462.209402, 459.538003) 	 5686 	 IT=88;116 
(462.209402, 459.538003) 	 5700 	 IT=116;116 
(462.209402, 459.538003) 	 5714 	 IT=116;116 
(462.209402, 459.538003) 	 5728 	 IT=116;116 
(462.209402, 459.538003) 	 5742 	 IT=116;116 
(462.209402, 459.538003) 	 5756 	 IT=116;116 
(462.209402, 459.538003) 	 5770 	 IT=116;116 
