(434.881286, 432.209886) 	 4404 	 IT=79;116 
(434.881286, 432.209886) 	 4418 	 IT=48;116 
(434.881286, 432.209886) 	 4432 	 IT=41;116 
(434.881286, 432.209886) 	 4446 	 IT=43;116 
(434.881286, 432.209886) 	 4460 	 IT=45;116 
(434.881286, 432.209886) 	 4474 	 IT=55;116 
(434.881286, 432.209886) 	 4488 	 IT=59;116 
(434.881286, 432.209886) 	 4502 	 IT=60;116 
(434.881286, 432.209886) 	 4516 	 IT=70;116 
(434.881286, 432.209886) 	 4530 	 IT=74;116 
(434.881286, 432.209886) 	 4544 	 IT=86;116 
(434.881286, 432.209886) 	 4558 	 IT=87;116 
(434.881286, 432.209886) 	 4572 	 IT=97;116 
(434.881286, 432.209886) 	 4586 	 IT=104;116 
(434.881286, 432.209886) 	 4600 	 IT=100;116 
(434.881286, 432.209886) 	 4614 	 IT=113;116 
(434.881286, 432.209886) 	 4628 	 IT=110;116 
(434.881286, 432.209886) 	 4642 	 IT=116;116 
(434.881286, 432.209886) 	 4656 	 IT=116;116 
(434.881286, 432.209886) 	 4670 	 IT=116;116 
(434.881286, 432.209886) 	 4684 	 IT=116;116 
(434.881286, 432.209886) 	 4698 	 IT=116;116 
(434.881286, 432.209886) 	 4712 	 IT=116;116 
(434.881286, 432.209886) 	 4726 	 IT=116;116 
(434.881286, 432.209886) 	 4740 	 IT=116;116 
(434.881286, 432.209886) 	 4754 	 IT=116;116 
(434.881286, 432.209886) 	 4768 	 IT=116;116 
(434.881286, 432.209886) 	 4782 	 IT=116;116 
(434.881286, 432.209886) 	 4796 	 IT=116;116 
(434.881286, 432.209886) 	 4811 	 IT=116;116 
(434.881286, 432.209886) 	 4826 	 IT=116;116 
(434.881286, 432.209886) 	 4841 	 IT=116;116 
(434.881286, 432.209886) 	 4858 	 IT=116;116 
(560.267902, 556.260803) 	 4797 	 IT=64;116 
(560.267902, 556.260803) 	 4812 	 IT=36;116 
(560.267902, 556.260803) 	 4827 	 IT=32;116 
(560.267902, 556.260803) 	 4842 	 IT=30;116 
(560.267902, 556.260803) 	 4859 	 IT=36;116 
(560.267902, 556.260803) 	 4873 	 IT=38;116 
(560.267902, 556.260803) 	 4888 	 IT=42;116 
(560.267902, 556.260803) 	 4903 	 IT=47;116 
(560.267902, 556.260803) 	 4919 	 IT=52;116 
(560.267902, 556.260803) 	 4933 	 IT=60;116 
(560.267902, 556.260803) 	 4948 	 IT=66;116 
(560.267902, 556.260803) 	 4963 	 IT=69;116 
(560.267902, 556.260803) 	 4978 	 IT=75;116 
(560.267902, 556.260803) 	 4993 	 IT=84;116 
(560.267902, 556.260803) 	 5008 	 IT=86;116 
(560.267902, 556.260803) 	 5026 	 IT=99;116 
(560.267902, 556.260803) 	 5042 	 IT=116;116 
(560.267902, 556.260803) 	 5059 	 IT=107;116 
(560.267902, 556.260803) 	 5076 	 IT=116;116 
(560.267902, 556.260803) 	 5094 	 IT=116;116 
(560.267902, 556.260803) 	 5109 	 IT=116;116 
(560.267902, 556.260803) 	 5126 	 IT=116;116 
(560.267902, 556.260803) 	 5142 	 IT=116;116 
(560.267902, 556.260803) 	 5157 	 IT=116;116 
(560.267902, 556.260803) 	 5174 	 IT=116;116 
(560.267902, 556.260803) 	 5192 	 IT=116;116 
(560.267902, 556.260803) 	 5207 	 IT=116;116 
(560.267902, 556.260803) 	 5224 	 IT=116;116 
(560.267902, 556.260803) 	 5240 	 IT=116;116 
(560.267902, 556.260803) 	 5258 	 IT=116;116 
(560.267902, 556.260803) 	 5275 	 IT=116;116 
(560.267902, 556.260803) 	 5291 	 IT=116;116 
(560.267902, 556.260803) 	 5307 	 IT=116;116 
(560.267902, 556.260803) 	 5322 	 IT=116;116 
(560.267902, 556.260803) 	 5338 	 IT=116;116 
(560.267902, 556.260803) 	 5354 	 IT=116;116 
(560.267902, 556.260803) 	 5371 	 IT=116;116 
(560.267902, 556.260803) 	 5386 	 IT=116;116 
(560.267902, 556.260803) 	 5405 	 IT=116;116 
(560.267902, 556.260803) 	 5422 	 IT=116;116 
(560.267902, 556.260803) 	 5440 	 IT=116;116 
(560.267902, 556.260803) 	 5459 	 IT=116;116 
(560.267902, 556.260803) 	 5476 	 IT=116;116 
(560.267902, 556.260803) 	 5494 	 IT=116;116 
(560.267902, 556.260803) 	 5511 	 IT=116;116 
(560.267902, 556.260803) 	 5528 	 IT=116;116 
(560.267902, 556.260803) 	 5545 	 IT=116;116 
(560.267902, 556.260803) 	 5594 	 IT=116;116 
(560.267902, 556.260803) 	 5610 	 IT=116;116 
(709.284578, 705.277478) 	 4857 	 IT=116;116 
(709.284578, 705.277478) 	 4872 	 IT=116;116 
(709.284578, 705.277478) 	 4887 	 IT=116;116 
(709.284578, 705.277478) 	 4902 	 IT=116;116 
(709.284578, 705.277478) 	 4918 	 IT=116;116 
(709.284578, 705.277478) 	 4932 	 IT=116;116 
(709.284578, 705.277478) 	 4947 	 IT=116;116 
(709.284578, 705.277478) 	 4962 	 IT=116;116 
(709.284578, 705.277478) 	 4977 	 IT=116;116 
(709.284578, 705.277478) 	 4992 	 IT=116;116 
(709.284578, 705.277478) 	 5007 	 IT=116;116 
(709.284578, 705.277478) 	 5023 	 IT=116;116 
(709.284578, 705.277478) 	 5039 	 IT=116;116 
(709.284578, 705.277478) 	 5056 	 IT=116;116 
(709.284578, 705.277478) 	 5073 	 IT=116;116 
(709.284578, 705.277478) 	 5091 	 IT=116;116 
(709.284578, 705.277478) 	 5107 	 IT=116;116 
(709.284578, 705.277478) 	 5124 	 IT=116;116 
(709.284578, 705.277478) 	 5140 	 IT=116;116 
(709.284578, 705.277478) 	 5155 	 IT=116;116 
(709.284578, 705.277478) 	 5171 	 IT=116;116 
(709.284578, 705.277478) 	 5189 	 IT=116;116 
(709.284578, 705.277478) 	 5237 	 IT=116;116 
(709.284578, 705.277478) 	 5255 	 IT=116;116 
(564.739087, 559.734952) 	 5172 	 IT=116;116 
(564.739087, 559.734952) 	 5190 	 IT=94;116 
(564.739087, 559.734952) 	 5205 	 IT=99;116 
(564.739087, 559.734952) 	 5222 	 IT=85;116 
(564.739087, 559.734952) 	 5238 	 IT=85;116 
(564.739087, 559.734952) 	 5256 	 IT=104;116 
(564.739087, 559.734952) 	 5273 	 IT=116;116 
(564.739087, 559.734952) 	 5290 	 IT=116;116 
(564.739087, 559.734952) 	 5306 	 IT=116;116 
(564.739087, 559.734952) 	 5321 	 IT=116;116 
(564.739087, 559.734952) 	 5337 	 IT=116;116 
(564.739087, 559.734952) 	 5353 	 IT=116;116 
(564.739087, 559.734952) 	 5370 	 IT=116;116 
(564.739087, 559.734952) 	 5385 	 IT=116;116 
(564.739087, 559.734952) 	 5403 	 IT=116;116 
(564.739087, 559.734952) 	 5420 	 IT=116;116 
(564.739087, 559.734952) 	 5438 	 IT=116;116 
(564.739087, 559.734952) 	 5457 	 IT=116;116 
(564.739087, 559.734952) 	 5492 	 IT=116;116 
(367.931562, 365.429495) 	 5272 	 IT=20;116 
(367.931562, 365.429495) 	 5289 	 IT=14;116 
(367.931562, 365.429495) 	 5305 	 IT=12;116 
(367.931562, 365.429495) 	 5320 	 IT=12;116 
(367.931562, 365.429495) 	 5336 	 IT=15;116 
(367.931562, 365.429495) 	 5352 	 IT=16;116 
(367.931562, 365.429495) 	 5369 	 IT=19;116 
(367.931562, 365.429495) 	 5384 	 IT=22;116 
(367.931562, 365.429495) 	 5402 	 IT=27;116 
(367.931562, 365.429495) 	 5419 	 IT=27;116 
(367.931562, 365.429495) 	 5437 	 IT=35;116 
(367.931562, 365.429495) 	 5456 	 IT=34;116 
(367.931562, 365.429495) 	 5474 	 IT=51;116 
(367.931562, 365.429495) 	 5491 	 IT=43;116 
(367.931562, 365.429495) 	 5509 	 IT=67;116 
(367.931562, 365.429495) 	 5526 	 IT=70;116 
(367.931562, 365.429495) 	 5543 	 IT=68;116 
(367.931562, 365.429495) 	 5559 	 IT=85;116 
(367.931562, 365.429495) 	 5577 	 IT=84;116 
(367.931562, 365.429495) 	 5592 	 IT=95;116 
(367.931562, 365.429495) 	 5608 	 IT=99;116 
(367.931562, 365.429495) 	 5625 	 IT=116;116 
(367.931562, 365.429495) 	 5642 	 IT=116;116 
(367.931562, 365.429495) 	 5657 	 IT=116;116 
(367.931562, 365.429495) 	 5675 	 IT=116;116 
(367.931562, 365.429495) 	 5692 	 IT=116;116 
(595.2942, 592.622684) 	 5025 	 IT=116;116 
(595.2942, 592.622684) 	 5041 	 IT=116;116 
(595.2942, 592.622684) 	 5058 	 IT=47;116 
(595.2942, 592.622684) 	 5075 	 IT=43;116 
(595.2942, 592.622684) 	 5093 	 IT=59;116 
(595.2942, 592.622684) 	 5108 	 IT=96;116 
(595.2942, 592.622684) 	 5125 	 IT=111;116 
(595.2942, 592.622684) 	 5141 	 IT=116;116 
(595.2942, 592.622684) 	 5156 	 IT=116;116 
(595.2942, 592.622684) 	 5173 	 IT=116;116 
(595.2942, 592.622684) 	 5191 	 IT=116;116 
(595.2942, 592.622684) 	 5206 	 IT=116;116 
(595.2942, 592.622684) 	 5223 	 IT=116;116 
(595.2942, 592.622684) 	 5239 	 IT=116;116 
(595.2942, 592.622684) 	 5257 	 IT=116;116 
(595.2942, 592.622684) 	 5274 	 IT=116;116 
(462.209402, 459.538003) 	 5404 	 IT=112;116 
(462.209402, 459.538003) 	 5421 	 IT=49;116 
(462.209402, 459.538003) 	 5439 	 IT=28;116 
(462.209402, 459.538003) 	 5458 	 IT=15;116 
(462.209402, 459.538003) 	 5475 	 IT=15;116 
(462.209402, 459.538003) 	 5493 	 IT=14;116 
(462.209402, 459.538003) 	 5510 	 IT=17;116 
(462.209402, 459.538003) 	 5527 	 IT=16;116 
(462.209402, 459.538003) 	 5544 	 IT=21;116 
(462.209402, 459.538003) 	 5560 	 IT=21;116 
(462.209402, 459.538003) 	 5578 	 IT=23;116 
(462.209402, 459.538003) 	 5593 	 IT=24;116 
(462.209402, 459.538003) 	 5609 	 IT=29;116 
(462.209402, 459.538003) 	 5626 	 IT=30;116 
(462.209402, 459.538003) 	 5643 	 IT=34;116 
(462.209402, 459.538003) 	 5659 	 IT=37;116 
(462.209402, 459.538003) 	 5678 	 IT=41;116 
(462.209402, 459.538003) 	 5695 	 IT=58;116 
(462.209402, 459.538003) 	 5712 	 IT=63;116 
(462.209402, 459.538003) 	 5729 	 IT=73;116 
(462.209402, 459.538003) 	 5746 	 IT=72;116 
(462.209402, 459.538003) 	 5762 	 IT=82;116 
(462.209402, 459.538003) 	 5778 	 IT=89;116 
(462.209402, 459.538003) 	 5794 	 IT=98;116 
(462.209402, 459.538003) 	 5809 	 IT=98;116 
(462.209402, 459.538003) 	 5824 	 IT=116;116 
(462.209402, 459.538003) 	 5840 	 IT=116;116 
(462.209402, 459.538003) 	 5854 	 IT=116;116 
(462.209402, 459.538003) 	 5869 	 IT=116;116 
(462.209402, 459.538003) 	 5884 	 IT=116;116 
(462.209402, 459.538003) 	 5899 	 IT=116;116 
(462.209402, 459.538003) 	 5914 	 IT=116;116 
(462.209402, 459.538003) 	 5929 	 IT=116;116 
(462.209402, 459.538003) 	 5944 	 IT=116;116 
(462.209402, 459.538003) 	 5959 	 IT=116;116 
(462.209402, 459.538003) 	 5974 	 IT=116;116 
(462.209402, 459.538003) 	 5989 	 IT=116;116 
(462.209402, 459.538003) 	 6004 	 IT=116;116 
(462.209402, 459.538003) 	 6019 	 IT=116;116 
(462.209402, 459.538003) 	 6034 	 IT=116;116 
(570.73347, 565.729336) 	 5401 	 IT=116;116 
(570.73347, 565.729336) 	 5418 	 IT=116;116 
(570.73347, 565.729336) 	 5436 	 IT=116;116 
(570.73347, 565.729336) 	 5455 	 IT=116;116 
(570.73347, 565.729336) 	 5473 	 IT=74;116 
(570.73347, 565.729336) 	 5490 	 IT=50;116 
(570.73347, 565.729336) 	 5508 	 IT=47;116 
(570.73347, 565.729336) 	 5525 	 IT=50;116 
(570.73347, 565.729336) 	 5542 	 IT=50;116 
(570.73347, 565.729336) 	 5558 	 IT=59;116 
(570.73347, 565.729336) 	 5576 	 IT=63;116 
(570.73347, 565.729336) 	 5591 	 IT=62;116 
(570.73347, 565.729336) 	 5607 	 IT=70;116 
(570.73347, 565.729336) 	 5624 	 IT=75;116 
(570.73347, 565.729336) 	 5641 	 IT=85;116 
(570.73347, 565.729336) 	 5656 	 IT=88;116 
(570.73347, 565.729336) 	 5674 	 IT=100;116 
(570.73347, 565.729336) 	 5691 	 IT=116;116 
(570.73347, 565.729336) 	 5709 	 IT=116;116 
(570.73347, 565.729336) 	 5726 	 IT=116;116 
(570.73347, 565.729336) 	 5743 	 IT=116;116 
(570.73347, 565.729336) 	 5760 	 IT=116;116 
