(434.881286, 432.209886) 	 4315 	 IT=116;116 
(434.881286, 432.209886) 	 4331 	 IT=110;116 
(434.881286, 432.209886) 	 4345 	 IT=55;116 
(434.881286, 432.209886) 	 4359 	 IT=29;116 
(434.881286, 432.209886) 	 4373 	 IT=24;116 
(434.881286, 432.209886) 	 4387 	 IT=25;116 
(434.881286, 432.209886) 	 4401 	 IT=28;116 
(434.881286, 432.209886) 	 4415 	 IT=34;116 
(434.881286, 432.209886) 	 4429 	 IT=43;116 
(434.881286, 432.209886) 	 4443 	 IT=50;116 
(434.881286, 432.209886) 	 4457 	 IT=56;116 
(434.881286, 432.209886) 	 4471 	 IT=72;116 
(434.881286, 432.209886) 	 4485 	 IT=82;116 
(434.881286, 432.209886) 	 4499 	 IT=89;116 
(434.881286, 432.209886) 	 4513 	 IT=106;116 
(434.881286, 432.209886) 	 4527 	 IT=111;116 
(434.881286, 432.209886) 	 4541 	 IT=116;116 
(434.881286, 432.209886) 	 4555 	 IT=116;116 
(434.881286, 432.209886) 	 4569 	 IT=116;116 
(434.881286, 432.209886) 	 4583 	 IT=116;116 
(434.881286, 432.209886) 	 4597 	 IT=116;116 
(434.881286, 432.209886) 	 4611 	 IT=116;116 
(434.881286, 432.209886) 	 4625 	 IT=116;116 
(434.881286, 432.209886) 	 4639 	 IT=116;116 
(434.881286, 432.209886) 	 4653 	 IT=116;116 
(434.881286, 432.209886) 	 4667 	 IT=116;116 
(434.881286, 432.209886) 	 4681 	 IT=116;116 
(560.267902, 556.260803) 	 4695 	 IT=116;116 
(560.267902, 556.260803) 	 4709 	 IT=116;116 
(560.267902, 556.260803) 	 4723 	 IT=116;116 
(560.267902, 556.260803) 	 4737 	 IT=88;116 
(560.267902, 556.260803) 	 4751 	 IT=61;116 
(560.267902, 556.260803) 	 4765 	 IT=44;116 
(560.267902, 556.260803) 	 4779 	 IT=42;116 
(560.267902, 556.260803) 	 4795 	 IT=45;116 
(560.267902, 556.260803) 	 4809 	 IT=56;116 
(560.267902, 556.260803) 	 4824 	 IT=75;116 
(560.267902, 556.260803) 	 4839 	 IT=101;116 
(560.267902, 556.260803) 	 4854 	 IT=116;116 
(560.267902, 556.260803) 	 4871 	 IT=116;116 
(560.267902, 556.260803) 	 4888 	 IT=116;116 
(560.267902, 556.260803) 	 4906 	 IT=116;116 
(560.267902, 556.260803) 	 4923 	 IT=116;116 
