(424.722068, 420.714969) 	 3289 	 IT=116;116 
(434.881286, 432.209886) 	 4505 	 IT=116;116 
(434.881286, 432.209886) 	 4519 	 IT=116;116 
(434.881286, 432.209886) 	 4533 	 IT=45;116 
(434.881286, 432.209886) 	 4547 	 IT=22;116 
(434.881286, 432.209886) 	 4561 	 IT=15;116 
(434.881286, 432.209886) 	 4575 	 IT=17;116 
(434.881286, 432.209886) 	 4589 	 IT=23;116 
(434.881286, 432.209886) 	 4603 	 IT=31;116 
(434.881286, 432.209886) 	 4617 	 IT=41;116 
(434.881286, 432.209886) 	 4631 	 IT=52;116 
(434.881286, 432.209886) 	 4645 	 IT=66;116 
(434.881286, 432.209886) 	 4659 	 IT=74;116 
(434.881286, 432.209886) 	 4673 	 IT=104;116 
(434.881286, 432.209886) 	 4687 	 IT=109;116 
(434.881286, 432.209886) 	 4701 	 IT=116;116 
(434.881286, 432.209886) 	 4715 	 IT=116;116 
(434.881286, 432.209886) 	 4729 	 IT=116;116 
(434.881286, 432.209886) 	 4743 	 IT=116;116 
(434.881286, 432.209886) 	 4757 	 IT=116;116 
(434.881286, 432.209886) 	 4771 	 IT=116;116 
(434.881286, 432.209886) 	 4785 	 IT=116;116 
(434.881286, 432.209886) 	 4799 	 IT=116;116 
(434.881286, 432.209886) 	 4813 	 IT=116;116 
(434.881286, 432.209886) 	 4827 	 IT=116;116 
(434.881286, 432.209886) 	 4841 	 IT=116;116 
(560.267902, 556.260803) 	 4881 	 IT=116;116 
(560.267902, 556.260803) 	 4895 	 IT=116;116 
(560.267902, 556.260803) 	 4909 	 IT=116;116 
(560.267902, 556.260803) 	 4923 	 IT=103;116 
(560.267902, 556.260803) 	 4937 	 IT=60;116 
(560.267902, 556.260803) 	 4951 	 IT=42;116 
(560.267902, 556.260803) 	 4966 	 IT=31;116 
(560.267902, 556.260803) 	 4981 	 IT=28;116 
(560.267902, 556.260803) 	 4996 	 IT=29;116 
(560.267902, 556.260803) 	 5011 	 IT=41;116 
(560.267902, 556.260803) 	 5026 	 IT=50;116 
(560.267902, 556.260803) 	 5041 	 IT=86;116 
(560.267902, 556.260803) 	 5056 	 IT=95;116 
(560.267902, 556.260803) 	 5072 	 IT=116;116 
(560.267902, 556.260803) 	 5089 	 IT=116;116 
(560.267902, 556.260803) 	 5105 	 IT=116;116 
(560.267902, 556.260803) 	 5121 	 IT=116;116 
(560.267902, 556.260803) 	 5139 	 IT=116;116 
(560.267902, 556.260803) 	 5154 	 IT=116;116 
(560.267902, 556.260803) 	 5172 	 IT=116;116 
(560.267902, 556.260803) 	 5189 	 IT=116;116 
(560.267902, 556.260803) 	 5206 	 IT=116;116 
(560.267902, 556.260803) 	 5223 	 IT=116;116 
(560.267902, 556.260803) 	 5240 	 IT=116;116 
(560.267902, 556.260803) 	 5257 	 IT=116;116 
(560.267902, 556.260803) 	 5274 	 IT=116;116 
