(434.881286, 432.209886) 	 4713 	 IT=116;116 
(434.881286, 432.209886) 	 4727 	 IT=103;116 
(434.881286, 432.209886) 	 4741 	 IT=39;116 
(434.881286, 432.209886) 	 4755 	 IT=19;116 
(434.881286, 432.209886) 	 4769 	 IT=15;116 
(434.881286, 432.209886) 	 4783 	 IT=9;116 
(434.881286, 432.209886) 	 4797 	 IT=11;116 
(434.881286, 432.209886) 	 4811 	 IT=15;116 
(434.881286, 432.209886) 	 4825 	 IT=23;116 
(434.881286, 432.209886) 	 4839 	 IT=31;116 
(434.881286, 432.209886) 	 4853 	 IT=37;116 
(434.881286, 432.209886) 	 4867 	 IT=48;116 
(434.881286, 432.209886) 	 4881 	 IT=53;116 
(434.881286, 432.209886) 	 4895 	 IT=57;116 
(434.881286, 432.209886) 	 4909 	 IT=76;116 
(434.881286, 432.209886) 	 4923 	 IT=116;116 
(434.881286, 432.209886) 	 4937 	 IT=116;116 
(434.881286, 432.209886) 	 4951 	 IT=93;116 
(434.881286, 432.209886) 	 4965 	 IT=116;116 
(434.881286, 432.209886) 	 4979 	 IT=116;116 
(434.881286, 432.209886) 	 4993 	 IT=116;116 
(434.881286, 432.209886) 	 5007 	 IT=116;116 
(434.881286, 432.209886) 	 5021 	 IT=116;116 
(434.881286, 432.209886) 	 5035 	 IT=116;116 
(434.881286, 432.209886) 	 5049 	 IT=116;116 
(560.267902, 556.260803) 	 5050 	 IT=116;116 
(560.267902, 556.260803) 	 5064 	 IT=116;116 
(560.267902, 556.260803) 	 5078 	 IT=116;116 
(560.267902, 556.260803) 	 5092 	 IT=67;116 
(560.267902, 556.260803) 	 5106 	 IT=37;116 
(560.267902, 556.260803) 	 5120 	 IT=26;116 
(560.267902, 556.260803) 	 5135 	 IT=21;116 
(560.267902, 556.260803) 	 5150 	 IT=23;116 
(560.267902, 556.260803) 	 5165 	 IT=23;116 
(560.267902, 556.260803) 	 5180 	 IT=37;116 
(560.267902, 556.260803) 	 5195 	 IT=56;116 
(560.267902, 556.260803) 	 5210 	 IT=60;116 
(560.267902, 556.260803) 	 5227 	 IT=100;116 
(560.267902, 556.260803) 	 5244 	 IT=116;116 
(560.267902, 556.260803) 	 5262 	 IT=116;116 
(560.267902, 556.260803) 	 5277 	 IT=116;116 
(560.267902, 556.260803) 	 5293 	 IT=116;116 
(560.267902, 556.260803) 	 5309 	 IT=116;116 
(560.267902, 556.260803) 	 5325 	 IT=116;116 
(560.267902, 556.260803) 	 5341 	 IT=116;116 
(560.267902, 556.260803) 	 5357 	 IT=116;116 
(560.267902, 556.260803) 	 5373 	 IT=116;116 
(560.267902, 556.260803) 	 5389 	 IT=116;116 
(560.267902, 556.260803) 	 5405 	 IT=116;116 
(560.267902, 556.260803) 	 5421 	 IT=116;116 
(560.267902, 556.260803) 	 5437 	 IT=116;116 
(560.267902, 556.260803) 	 5454 	 IT=116;116 
(560.267902, 556.260803) 	 5471 	 IT=116;116 
(560.267902, 556.260803) 	 5489 	 IT=116;116 
(560.267902, 556.260803) 	 5507 	 IT=116;116 
(560.267902, 556.260803) 	 5524 	 IT=116;116 
(560.267902, 556.260803) 	 5541 	 IT=116;116 
(560.267902, 556.260803) 	 5558 	 IT=116;116 
(560.267902, 556.260803) 	 5575 	 IT=116;116 
(560.267902, 556.260803) 	 5606 	 IT=116;116 
(709.284578, 705.277478) 	 5134 	 IT=116;116 
(709.284578, 705.277478) 	 5149 	 IT=116;116 
(709.284578, 705.277478) 	 5164 	 IT=116;116 
(709.284578, 705.277478) 	 5179 	 IT=116;116 
(709.284578, 705.277478) 	 5194 	 IT=116;116 
(709.284578, 705.277478) 	 5209 	 IT=116;116 
(709.284578, 705.277478) 	 5224 	 IT=86;116 
(709.284578, 705.277478) 	 5241 	 IT=86;116 
(709.284578, 705.277478) 	 5259 	 IT=74;116 
(709.284578, 705.277478) 	 5275 	 IT=73;116 
(709.284578, 705.277478) 	 5291 	 IT=78;116 
(709.284578, 705.277478) 	 5307 	 IT=91;116 
(709.284578, 705.277478) 	 5323 	 IT=99;116 
(709.284578, 705.277478) 	 5339 	 IT=100;116 
(709.284578, 705.277478) 	 5355 	 IT=116;116 
(709.284578, 705.277478) 	 5371 	 IT=116;116 
(709.284578, 705.277478) 	 5387 	 IT=116;116 
(709.284578, 705.277478) 	 5403 	 IT=116;116 
(709.284578, 705.277478) 	 5419 	 IT=116;116 
(709.284578, 705.277478) 	 5435 	 IT=116;116 
(709.284578, 705.277478) 	 5451 	 IT=116;116 
(709.284578, 705.277478) 	 5468 	 IT=116;116 
(709.284578, 705.277478) 	 5486 	 IT=116;116 
(709.284578, 705.277478) 	 5504 	 IT=116;116 
(709.284578, 705.277478) 	 5555 	 IT=116;116 
(709.284578, 705.277478) 	 5572 	 IT=116;116 
(564.739087, 559.734952) 	 5522 	 IT=116;116 
(564.739087, 559.734952) 	 5539 	 IT=100;116 
(564.739087, 559.734952) 	 5556 	 IT=56;116 
(564.739087, 559.734952) 	 5573 	 IT=56;116 
(564.739087, 559.734952) 	 5589 	 IT=68;116 
(564.739087, 559.734952) 	 5604 	 IT=77;116 
(564.739087, 559.734952) 	 5621 	 IT=103;116 
(564.739087, 559.734952) 	 5637 	 IT=116;116 
(564.739087, 559.734952) 	 5653 	 IT=116;116 
(564.739087, 559.734952) 	 5669 	 IT=116;116 
(564.739087, 559.734952) 	 5685 	 IT=116;116 
(367.931562, 365.429495) 	 5620 	 IT=67;116 
(367.931562, 365.429495) 	 5636 	 IT=17;116 
(367.931562, 365.429495) 	 5652 	 IT=6.7;116 
(367.931562, 365.429495) 	 5668 	 IT=3.9;116 
(367.931562, 365.429495) 	 5684 	 IT=3.6;116 
(367.931562, 365.429495) 	 5700 	 IT=4.1;116 
(367.931562, 365.429495) 	 5715 	 IT=4.7;116 
(367.931562, 365.429495) 	 5731 	 IT=6.1;116 
(367.931562, 365.429495) 	 5745 	 IT=9;116 
(367.931562, 365.429495) 	 5760 	 IT=11;116 
(367.931562, 365.429495) 	 5775 	 IT=16;116 
(367.931562, 365.429495) 	 5790 	 IT=20;116 
(367.931562, 365.429495) 	 5805 	 IT=23;116 
(367.931562, 365.429495) 	 5820 	 IT=28;116 
(367.931562, 365.429495) 	 5835 	 IT=39;116 
(367.931562, 365.429495) 	 5850 	 IT=41;116 
(367.931562, 365.429495) 	 5865 	 IT=43;116 
(367.931562, 365.429495) 	 5880 	 IT=48;116 
(367.931562, 365.429495) 	 5895 	 IT=66;116 
(367.931562, 365.429495) 	 5910 	 IT=77;116 
(367.931562, 365.429495) 	 5925 	 IT=75;116 
(367.931562, 365.429495) 	 5940 	 IT=97;116 
(367.931562, 365.429495) 	 5954 	 IT=94;116 
(367.931562, 365.429495) 	 5969 	 IT=116;116 
(367.931562, 365.429495) 	 5984 	 IT=116;116 
(367.931562, 365.429495) 	 5999 	 IT=116;116 
(367.931562, 365.429495) 	 6014 	 IT=116;116 
(367.931562, 365.429495) 	 6029 	 IT=116;116 
(367.931562, 365.429495) 	 6044 	 IT=116;116 
(367.931562, 365.429495) 	 6059 	 IT=116;116 
(367.931562, 365.429495) 	 6074 	 IT=116;116 
(367.931562, 365.429495) 	 6089 	 IT=116;116 
(367.931562, 365.429495) 	 6104 	 IT=116;116 
(367.931562, 365.429495) 	 6147 	 IT=116;116 
(367.931562, 365.429495) 	 6162 	 IT=116;116 
(595.2942, 592.622684) 	 5226 	 IT=116;116 
(595.2942, 592.622684) 	 5243 	 IT=70;116 
(595.2942, 592.622684) 	 5261 	 IT=25;116 
(595.2942, 592.622684) 	 5276 	 IT=17;116 
(595.2942, 592.622684) 	 5292 	 IT=15;116 
(595.2942, 592.622684) 	 5308 	 IT=23;116 
(595.2942, 592.622684) 	 5324 	 IT=42;116 
(595.2942, 592.622684) 	 5340 	 IT=67;116 
(595.2942, 592.622684) 	 5356 	 IT=116;116 
(595.2942, 592.622684) 	 5372 	 IT=116;116 
(595.2942, 592.622684) 	 5388 	 IT=116;116 
(595.2942, 592.622684) 	 5404 	 IT=116;116 
(595.2942, 592.622684) 	 5420 	 IT=116;116 
(595.2942, 592.622684) 	 5436 	 IT=116;116 
(595.2942, 592.622684) 	 5452 	 IT=116;116 
(595.2942, 592.622684) 	 5469 	 IT=116;116 
(595.2942, 592.622684) 	 5487 	 IT=116;116 
(595.2942, 592.622684) 	 5505 	 IT=116;116 
(462.209402, 459.538003) 	 5453 	 IT=116;116 
(462.209402, 459.538003) 	 5470 	 IT=116;116 
(462.209402, 459.538003) 	 5488 	 IT=116;116 
(462.209402, 459.538003) 	 5506 	 IT=116;116 
(462.209402, 459.538003) 	 5523 	 IT=116;116 
(462.209402, 459.538003) 	 5540 	 IT=116;116 
(462.209402, 459.538003) 	 5557 	 IT=116;116 
(462.209402, 459.538003) 	 5574 	 IT=116;116 
(462.209402, 459.538003) 	 5590 	 IT=112;116 
(462.209402, 459.538003) 	 5605 	 IT=63;116 
(462.209402, 459.538003) 	 5622 	 IT=23;116 
(462.209402, 459.538003) 	 5638 	 IT=21;116 
(462.209402, 459.538003) 	 5654 	 IT=12;116 
(462.209402, 459.538003) 	 5670 	 IT=8.7;116 
(462.209402, 459.538003) 	 5686 	 IT=8.2;116 
(462.209402, 459.538003) 	 5701 	 IT=8.3;116 
(462.209402, 459.538003) 	 5716 	 IT=11;116 
(462.209402, 459.538003) 	 5732 	 IT=12;116 
(462.209402, 459.538003) 	 5746 	 IT=15;116 
(462.209402, 459.538003) 	 5761 	 IT=17;116 
(462.209402, 459.538003) 	 5776 	 IT=19;116 
(462.209402, 459.538003) 	 5791 	 IT=21;116 
(462.209402, 459.538003) 	 5806 	 IT=24;116 
(462.209402, 459.538003) 	 5821 	 IT=28;116 
(462.209402, 459.538003) 	 5836 	 IT=26;116 
(462.209402, 459.538003) 	 5851 	 IT=27;116 
(462.209402, 459.538003) 	 5866 	 IT=27;116 
(462.209402, 459.538003) 	 5881 	 IT=30;116 
(462.209402, 459.538003) 	 5896 	 IT=28;116 
(462.209402, 459.538003) 	 5911 	 IT=34;116 
(462.209402, 459.538003) 	 5926 	 IT=42;116 
(462.209402, 459.538003) 	 5971 	 IT=52;116 
(462.209402, 459.538003) 	 5985 	 IT=65;116 
(462.209402, 459.538003) 	 6000 	 IT=67;116 
(462.209402, 459.538003) 	 6015 	 IT=74;116 
(462.209402, 459.538003) 	 6030 	 IT=75;116 
(462.209402, 459.538003) 	 6045 	 IT=72;116 
(462.209402, 459.538003) 	 6060 	 IT=85;116 
(462.209402, 459.538003) 	 6075 	 IT=89;116 
(462.209402, 459.538003) 	 6090 	 IT=99;116 
(462.209402, 459.538003) 	 6105 	 IT=89;116 
(462.209402, 459.538003) 	 6119 	 IT=116;116 
(462.209402, 459.538003) 	 6133 	 IT=116;116 
(462.209402, 459.538003) 	 6148 	 IT=116;116 
(462.209402, 459.538003) 	 6163 	 IT=116;116 
(462.209402, 459.538003) 	 6177 	 IT=116;116 
