Parent Mass	Parent Charge	Retention Time Low	Retention Time Low	Triggered Mass	Parent Ion Fragments					
573.777049	2	27.11	31.11	569.769949	841.44228	674.44392	504.338393	367.279481	254.195417	175.071333
877.39783	2	16.82	20.82	873.390731	622.365001	394.253994	323.21688	226.164117	707.856255	1431.57878
736.658762	3	28.45	32.45	733.987362	879.538943	750.49635	651.427936	988.941745	659.630255	
579.589854	3	36.08	40.08	578.254155	195.109732	254.161151	391.220063	538.288477	763.399818	382.203547
702.364345	2	53.5	57.5	698.357246	1123.638991	1026.586228	927.517814	840.485785	741.417371	562.323134
520.730621	2	14.15	18.15	516.723522	927.369903	632.312966	545.280937	430.253994	283.18558	228.134267
852.3974	2	19.35	23.35	847.393274	1076.4647	1175.533163	581.3281			
852.3975	2	20.79	24.79	847.393274	1076.4647	1175.533163	661.2944			
1044.976839	2	42.65	46.65	1040.969739	1060.561195	872.481488	658.349745	371.201624	201.123368	272.160482
659.667154	3	40.07	44.07	656.331064	935.426179	577.369576	478.301162	435.27143	589.345657	929.483942
860.758878	3	43.6	47.6	857.422788	1089.500407	775.433633	676.365219	579.312455	338.686248	1034.551687
992.869714	3	52.74	56.74	989.5336	1237.7655	521.3258	1041.6443	1015.5929	1135.1564	1324.7975
678.556109	4	25.94	29.94	676.054042	735.356052	832.368257	778.018915	555.24793	195.087652	380.167693
755.333339	3	42.2	46.2	751.997249	1080.567167	868.48746	570.323354	540.787221	1071.34151	1184.425574
604.777246	2	9.51	13.51	600.770146	770.432035	671.363621	556.336678	396.30603	283.221966	258.108447
562.737698	2	15.93	19.93	557.733564	686.35294	587.284526	458.241933	298.211285	343.680108	258.108447
594.809403	2	36.27	40.27	590.802304	988.495438	821.497078	750.459964	653.4072	375.73362	201.123368
580.274033	3	28.38	32.38	576.937943	951.493865	838.409801	395.264049	788.375747	738.84154	681.328069
757.33671	2	17.53	21.53	753.329611	1032.508765	933.440351	846.408323	717.36573	630.333701	242.159031
797.363226	3	34.66	38.66	794.691826	1072.499657	958.45673	871.424701	800.387587	634.814055	888.361123
570.73347	2	6.67	10.67	565.729336	977.396335	890.364307	636.333919	508.275342	282.179985	251.102633
950.785932	3	52.75	56.75	947.449842	1273.617562	1048.50622	949.437806	836.353742	391.161211	617.329339
794.124931	4	31.93	35.93	792.121382	676.315682	944.450594	780.378748	908.437326	454.722301	562.267604
624.288348	3	24.63	28.63	620.952258	972.513675	844.455097	716.396519	569.328106	470.259692	341.217098
632.814488	2	44.05	48.05	628.807389	980.494375	813.496016	700.411952	256.174681	559.280281	285.134602
552.236813	3	32.95	36.95	548.900724	891.327193	776.30025	575.225294	269.106673	382.190737	566.275529
718.350369	3	14.96	18.96	715.678969	1020.479883	970.945676	914.403644	885.892912	647.827497	213.62555
929.4311	2	53.08	57.08	926.4242	1140.4245	1253.5086	1310.53	1538.641	1637.7095	221.1528
734.299747	3	38.81	42.81	730.963657	1426.545125	1279.476711	1164.449768	1050.406841	525.707058	201.123368
723.314724	2	10.89	14.89	719.307624	1108.518284	977.477799	862.450856	748.407929	419.23801	256.174681
489.209434	2	18.72	22.72	484.205299	791.332279	637.258051	470.259692	373.206928	272.159249	396.169777
553.238279	2	21.78	25.78	549.23118	764.406866	617.338452	520.285688	357.22236	309.172864	175.071333
782.37822	3	42.99	46.99	779.04213	1253.651231	1055.550788	675.855635	528.279032	882.339325	995.423389
628.290227	3	38.91	42.91	625.618828	870.429452	755.402509	642.318445	527.291502	299.180495	900.34989
800.698385	3	25.08	29.08	798.026986	1113.511912	1041.485165	1012.974434	969.458419	925.942405	876.408198
935.725468	3	49.74	53.74	932.389378	1171.601503	629.331476	757.372478	586.30439	1193.363034	1292.431448
793.402371	3	46.39	50.39	790.066281	1120.634852	1010.516181	953.974149	734.418934	246.090688	359.174752
841.02041	3	16.01	20.01	838.34901	1151.55309	782.388256	695.356228	638.334764	909.913883	576.280183
798.019526	3	24.08	28.08	795.348126	1300.644548	848.406215	938.444585	902.926028	838.404732	203.102633
594.273466	3	22.4	26.4	590.937377	930.431993	833.379229	569.328106	472.275342	465.719634	285.167691
664.952065	3	52.91	56.91	661.615975	506.270925	836.388165	743.348509	685.835037	253.6391	322.079863
796.905203	2	28.63	32.63	791.901069	1085.582482	844.439841	757.407812	298.211285	185.127221	621.345435
583.278045	2	21.88	25.88	578.27391	924.406172	757.407812	670.375784	613.35432	514.285906	298.211285
664.259518	2	24.72	28.72	659.255383	1099.400752	856.371093	727.328499	626.280821	511.253878	229.118283
704.242683	2	21.34	25.34	699.238549	1179.367083	936.337424	807.29483	706.247152	472.147943	
792.831901	2	11.24	15.24	787.827767	1193.567226	1064.524633	963.476955	816.408541	541.296805	225.098216
805.385157	3	28.92	32.92	802.049068	1300.670586	1132.580708	914.508195	815.439781	573.301891	650.838931
724.340777	3	34.21	38.21	721.004688	895.406112	653.268222	870.904346	690.822096	231.097548	318.129576
729.672416	3	24.43	28.43	726.336326	653.268222	878.901804	792.859407	698.819554	231.097548	318.129576
880.3808	3	17.52	21.52	877.044711	1011.509317	867.455825	671.334647	584.302619	1046.971477	434.231551
885.712439	3	13.64	17.64	882.376349	1011.509317	867.455825	671.334647	584.302619	1054.968934	434.231551
693.289663	2	19.04	23.04	689.282563	1257.477087	647.271375	252.179767	186.123703	445.204138	739.307951
709.284578	2	5.39	9.39	705.277478	1289.466917	663.26629	252.179767	186.123703	445.204138	755.302866
367.931562	4	6.19	10.19	365.429495	416.212741	329.180713	242.148684	266.452465	202.095477	336.688064
1189.560505	3	47.52	51.52	1186.224415	1588.69522	1114.507269	986.933498	794.851248	812.451245	1237.678679
780.394028	2	51.19	55.19	776.386929	1130.594817	1017.510753	749.464715	202.082232	317.109175	430.193239
881.4428	3	47.13	51.13	878.771423	998.521913	227.175404	598.8149	1196.6224		
881.4429	3	48.95	52.95	878.771423	998.521913	227.175404	638.797981	1276.588686		
657.286067	2	12.95	16.95	652.281932	1087.396729	958.354136	843.327193	729.284266	600.241673	227.175404
725.33408	2	12.49	16.49	720.329945	1106.5117	1035.474586	760.36285	383.227663	216.097882	344.15646
1009.486558	2	52.49	56.49	1004.482423	1549.764954	1268.591013	1155.506949	1041.464021	847.358493	583.30737
650.278242	2	9.64	13.64	645.274107	1087.396729	958.354136	843.327193	729.284266	600.241673	213.159754
905.930452	2	52.28	56.28	901.923353	1275.643558	1105.538031	1018.506002	274.121989	389.148932	593.238809
434.881286	3	4.74	8.74	432.209886	515.255116	386.212523	212.148466	508.299041	254.653159	459.215667
690.670347	3	52.14	56.14	687.334257	979.484757	898.944526	841.431054	767.896847	274.121989	389.148932
424.722068	2	2.92	6.92	420.714969	735.352796	636.284382	354.25908	226.164117	368.180036	213.159754
820.800571	2	16.18	20.18	815.796436	1068.386044	756.33155	456.280427	357.212013	286.174899	200.102967
754.6748	3	44.16	48.16	751.338835	929.400358	981.934689	748.3863	619.3438		
754.6749	3	33.22	37.22	751.338835	929.400358	981.934689	828.35268	699.310087		
817.684327	3	44.91	48.91	814.348237	748.386349	619.343756	456.280427	357.212013	1010.430925	966.914911
876.392226	2	49.01	53.01	871.388091	1334.591212	1187.522798	1056.482314	744.42782	385.243313	173.092068
941.402268	2	48.1	52.1	936.398133	1334.591212	1187.522798	1056.482314	744.42782	385.243313	286.174899
1048.145059	3	49.48	53.48	1045.473659	1469.776607	1209.660515	1046.597186	947.528772	876.491658	735.391942
409.203661	3	8.9	12.9	405.867572	720.402667	510.26584	373.206928	360.704972	255.636558	376.180857
867.740434	3	36.77	40.77	864.404345	1080.555933	983.503169	585.286635	484.238956	272.159249	540.781605
928.377067	2	19.51	23.51	923.372932	1375.584727	1274.537048	1145.494455	1016.451862	902.408935	458.223306
622.288944	2	12.31	16.31	617.284809	650.360803	456.255275	514.251633	409.183219	325.684039	217.081898
906.763166	3	44.97	48.97	904.091767	1016.561469	774.434812	588.370755	1086.572957	1043.056942	1007.538385
864.064845	3	50.64	54.64	861.393446	1272.667391	1159.583327	1044.556384	888.466506	646.339849	460.275792
739.392411	4	45.88	49.88	737.388861	807.481428	602.878804	404.244352	789.74483	647.674347	588.335152
609.996723	3	41.23	45.23	606.660633	599.304397	500.254176	263.1602	631.381374	728.434138	829.481817
711.060411	4	34.49	38.49	709.056861	1178.51253	934.442994	805.400401	653.807384	910.050101	872.355413
593.262395	2	23.87	27.87	588.25826	956.411257	789.412898	642.344484	555.312455	442.228391	230.113532
448.194502	2	6.54	10.54	444.187402	714.367718	518.24654	351.248181	254.195417	357.687497	378.142463
649.620755	3	53.27	57.27	646.284665	1078.498024	931.429611	844.397582	747.344818	575.296411	422.702429
490.189743	2	27.68	31.68	486.182644	816.308882	685.268398	518.270038	371.201624	270.153946	295.111089
625.335627	3	29.74	33.74	621.999537	692.432905	482.296077	798.946674	715.447495	665.913288	346.72009
487.215138	2	38.16	42.16	483.208039	722.321162	555.322802	442.238738	226.164117	252.109115	748.26616
525.728188	2	16.6	20.6	520.724053	883.45074	770.366676	713.345212	598.318269	469.275676	299.170148
564.739087	2	6.04	10.04	559.734952	548.270256	401.201842	272.159249	228.145501	357.188094	857.318924
900.40133	2	50.63	54.63	896.394231	1384.609816	1141.580156	1042.511742	728.389108	500.295859	843.379867
841.066816	3	37.34	41.34	837.730726	1396.628461	1249.560047	1136.475983	698.817868	1012.480647	1125.564711
927.395497	2	36.36	40.36	922.391362	1265.618216	839.406767	725.363839	410.238562	375.07742	589.172777
668.662403	3	35.38	39.38	665.326313	828.507801	379.232748	754.884074	711.36806	569.293832	349.150646
670.308131	3	21.43	25.43	666.972041	740.392497	410.238562	904.900512	847.38704	668.81024	201.123368
767.025997	3	49.94	53.94	764.354597	1223.578242	995.467235	769.371878	498.237255	850.324344	963.408408
806.844855	4	27.75	31.75	804.342788	1046.992866	998.466484	594.291282	698.331002	248.069953	363.096896
644.240162	2	16.15	20.15	640.233062	1124.409719	993.369234	864.326641	749.299698	561.219991	295.111089
605.303954	2	28.98	32.98	601.296854	1110.532217	867.502558	738.459964	525.348623	254.195417	343.10535
541.570777	3	18.19	22.19	538.899377	942.42121	843.352796	366.222694	762.318321	540.243699	681.283845
706.997011	3	32.9	36.9	703.660921	985.51882	583.30737	272.159249	831.929006	292.157323	189.086983
943.4253	3	33.83	37.83	940.753925	908.471592	995.50362	1134.44631	1021.362		
943.4252	3	33.83	37.83	940.753925	908.471592	995.50362	686.274009	941.395915	1054.479979	1141.512
